연번,자치구명,관리번호,도로(가로)명,설치위치,           설치지점,     수거 쓰레기 종류,              형태,설치연도
144,영등포구,가로6-36,서울특별시 영등포구 가마산로,수정교회 버스정류장(19-457),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
145,영등포구,가로6-4,서울특별시 영등포구 영중로,"경방타임스퀘어,신세계백화점 버스정류장(19-110)","① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
146,영등포구,가로6-5,서울특별시 영등포구 영중로,"경방타임스퀘어,신세계백화점 버스정류장(19-821)","① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
147,영등포구,가로6-6,서울특별시 영등포구 영중로,"경방타임스퀘어,신세계백화점 버스정류장(19-112)","① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
148,영등포구,가로6-7,서울특별시 영등포구 영중로,"경방타임스퀘어,신세계백화점 버스정류장(19-117)","① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
149,영등포구,가로6-8,서울특별시 영등포구 문래로,타임스퀘어 버스정류장(19-434),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
150,영등포구,가로6-9,서울특별시 영등포구 문래로,"영등포소방서,타임스퀘어버스정류장(19-851)","① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
151,영등포구,기동A-1,서울특별시 영등포구 노들로,아리수 정수센터 버스정류장(19-215),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
152,영등포구,기동A-2,서울특별시 영등포구 노들로,아리수 정수센터 버스정류장(19-215),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
153,영등포구,기동A-3,서울특별시 영등포구 노들로,안양천입구 버스정류장(19-217),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
154,영등포구,기동A-4,서울특별시 영등포구 노들로,안양천입구 버스정류장(19-217),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
155,영등포구,여의-1,서울특별시 영등포구 여의동로,여의나루역 2번출구 버스정류장(19-140),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
156,영등포구,여의-11,서울특별시 영등포구 여의나루로 42,여의도역 사거리 5번출구방향 ,② 지하철역 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
157,영등포구,여의-12,서울특별시 영등포구 여의나루로 42,여의도역 사거리5번출구방향 ,② 지하철역 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
158,영등포구,여의-13,서울특별시 영등포구 여의나루로 76,증권거래소 앞버스정류소(19-157),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
159,영등포구,여의-14,서울특별시 영등포구 여의나루로 76,증권거래소 맞은편 버스정류소(19-158),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
160,영등포구,여의-15,서울특별시 영등포구 여의동로,여의나루역 1번출구 버스정류장(19-139),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
161,영등포구,여의-16,서울특별시 영등포구 여의동로,여의나루역 1번출구 버스정류장(19-139),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
162,영등포구,여의-17,서울특별시 영등포구 국제금융로7길 46,여의도중학교 뒤 버스정류장(19-141),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
163,영등포구,여의-18,서울특별시 영등포구 국제금융로 108-6,진주아파트 앞 버스정류장(19-149),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
164,영등포구,여의-19,서울특별시 영등포구 국제금융로 109,삼익아파트 앞 버스정류장(19-145),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
165,영등포구,여의-2,서울특별시 영등포구 의사당대로,여의도역 6번출구 버스정류장(19-155),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
166,영등포구,여의-20,서울특별시 영등포구 국회대로76길 15,순복음교회 맞은편 버스정류장(19-137),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
167,영등포구,여의-21,서울특별시 영등포구 국회대로76길 15,순복음교회 맞은편 버스정류장(19-137),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
168,영등포구,여의-23,서울특별시 영등포구 63로,가톨릭대학교여의대성모병원 버스정류장(19-143) ,"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
169,영등포구,여의-24,서울특별시 영등포구 국제금융로 78,한양아파트버스정류장(19-286),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
170,영등포구,여의-25,서울특별시 영등포구 국제금융로 112,여의동주민센터 앞버스정류장(19-148),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
171,영등포구,여의-26,서울특별시 영등포구 국제금융로 112,여의동 주민센터 맞은편버스정류장(19-147),"① 정류장(버스, 택시 등)",① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
172,영등포구,여의-27,서울특별시 영등포구 국회대로,B&B타워 앞,③ 도로(가로)변,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
173,영등포구,여의-28,서울특별시 영등포구 국회대로62길,kbs연구동 입구,⑥ 횡단보도 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
174,영등포구,여의-29,서울특별시 영등포구 의사당대로 1,국회의사당역 1번출구 현대빌딩 앞,② 지하철역 입구,① 일반쓰레기,① 일반 사각쓰레기통,2018 이전
